FileName	Kap_1_F	Kap_2_F	Kap_3_F	Kap_4_F	Kap_5_F	Kap_6_F	Kap_7_F	Kap_8_F	Kap_9_F	Kap_10_F
2018_05_02_15_21_50_m001	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.008187e-10	1.008612e-10	9.383346e-11	1.000262e-10	9.386878e-11
2018_05_02_15_21_57_m001	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.008187e-10	1.008612e-10	9.383346e-11	1.000262e-10	9.520551e-11
2018_05_02_15_22_04_m001	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.008187e-10	1.008612e-10	9.383346e-11	1.000262e-10	9.735472e-11
2018_05_02_15_22_11_m001	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.008187e-10	1.008612e-10	9.383346e-11	1.000262e-10	9.693588e-11
2018_05_02_15_23_12_m001	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.008187e-10	1.008612e-10	9.383346e-11	1.000262e-10	9.619233e-11
2018_05_02_15_23_18_m001	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.008187e-10	1.008612e-10	9.383346e-11	1.000262e-10	9.798370e-11
2018_05_02_15_23_26_m001	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.008187e-10	1.008612e-10	9.383346e-11	1.000262e-10	1.037241e-10
2018_05_02_15_23_32_m001	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.008187e-10	1.008612e-10	9.383346e-11	1.000262e-10	9.874417e-11
2018_05_02_15_23_39_m001	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.008187e-10	1.008612e-10	9.383346e-11	1.000262e-10	1.004344e-10
2018_05_02_15_23_47_m001	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.008187e-10	1.008612e-10	9.383346e-11	1.000262e-10	9.812294e-11
2018_05_02_15_27_09_m001	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.008187e-10	1.008612e-10	9.383346e-11	1.000262e-10	9.426391e-11
2018_05_02_15_27_16_m001	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.008187e-10	1.008612e-10	9.383346e-11	1.000262e-10	9.549805e-11
