Ladekurvenmessung
Zeit: 2018_05_04 09.03.03
Info: FVA3, v = 0.749, T = 23, F = 20, h = 374.2
Ladewiderstand[Ohm]: 1012700
Störkapazität[pF]: 0.000000
Entladezeit[ms]: 200
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzögerung[ms]: 3
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3
75	-1.9e-05	-0.000841	-0.00347
76	-0.001169	-0.001991	-0.001991
77	-0.001005	-0.00347	0.001132
78	-0.000841	-0.000841	-0.000347
79	-0.000183	-0.003142	-0.006757
80	-0.002813	-0.002155	0.000146
81	-0.000512	-0.00232	-0.001005
82	-1.9e-05	-0.003306	-0.002648
83	-0.004456	0.00409	-0.0061
84	0.000146	-0.003142	-0.000841
85	-0.000347	-0.000512	-0.001662
86	-0.000841	-0.001169	0.000803
87	-0.000676	-0.003142	-0.002484
88	0.00031	-0.00347	-0.001991
89	-0.002484	-0.00232	-0.000676
90	-0.000183	-0.001662	-0.002648
91	-0.000841	-1.9e-05	-0.003306
92	-0.000841	-0.000347	-0.001498
93	0.001954	-0.00232	-0.003963
94	0.003104	-0.000676	-0.004292
95	-0.002484	-0.002484	-0.001662
96	0.000146	-0.002813	-0.008237
97	-0.001827	-0.001827	-0.002648
98	-0.002648	-0.001334	-0.002484
99	-0.001662	-0.003963	-1.9e-05
100	-0.001169	-0.003306	-0.002155
101	-0.001005	-0.003306	-0.001498
102	-0.001334	0.000146	-0.001991
103	-0.000676	-0.004128	0.00031
104	0.00031	-0.001827	-0.001662
105	0.002118	-0.000512	-0.003963
106	0.00146	-0.003142	0.001625
107	0.002282	-0.002977	-0.002813
108	-0.000183	0.00031	-0.003799
109	0.001132	-0.00232	-0.003963
110	-0.000512	-0.002155	-0.001991
111	-0.001005	-0.004128	-0.001827
112	-0.000841	-0.001005	-0.001662
113	-0.005607	-0.00347	-0.002813
114	-0.001991	-0.002484	-0.001005
115	-0.002813	-0.001334	-0.002648
116	-0.002813	-0.000676	-0.002977
117	-0.004456	-0.001005	-0.001827
118	0.002118	-0.00232	0.000146
119	-0.001662	-0.003306	-0.001005
120	-0.001827	0.000967	0.00146
121	0.000146	0.002611	0.000146
122	-0.000183	-0.00347	-0.001991
123	0.000474	0.001625	-0.000841
124	0.001789	-0.002155	-0.002648
125	-0.001827	-0.001991	-0.001662
126	-0.001005	-0.001827	-0.000512
127	0.000146	0.00031	-0.001991
128	-0.000676	-0.003799	-0.001991
129	0.001625	-0.002648	-0.001827
130	-0.001005	-0.002155	-0.003963
131	-0.000676	-0.003306	0.000146
132	-0.003306	-0.000512	-0.002813
133	-0.005936	-0.000183	-0.003306
134	-0.003142	0.000146	-0.001005
135	-0.001334	-0.001334	-0.005114
136	-0.002648	-0.000347	0.00031
137	-0.000347	-0.003963	-0.002155
138	-0.001334	0.00031	-0.002484
139	0.000474	-0.004292	-0.001991
140	0.000803	-0.002813	-0.000841
141	-0.001169	-0.00347	-0.002484
142	-1.9e-05	-0.001498	-0.000347
143	-0.001169	-0.002813	-0.003142
144	0.000967	-0.004456	-0.001334
145	-0.002648	-0.001005	-0.002484
