Ladekurvenmessung
Zeit: 2018_05_03 13.53.57
Info: FVA3, v = 2.06, T = 40, F = 20, h = 599.6
Ladewiderstand[Ohm]: 1012700
Störkapazität[pF]: 0.000000
Entladezeit[ms]: 200
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzögerung[ms]: 3
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7	Kurve_8	Kurve_9	Kurve_10	Kurve_11	Kurve_12	Kurve_13	Kurve_14	Kurve_15	Kurve_16
93	0.003926	0.001954	-0.00347	-0.005771	-0.003306	0.020526	0.011486	-0.005771	-0.001662	0.013787	-0.005443	-0.000347	0.01313	0.006227	0.011979	-0.002813
94	0.004255	0.00409	-0.000676	-0.009716	-0.008894	0.020033	0.010336	-0.000841	-0.001169	0.014116	-0.016619	-0.000676	0.012472	0.004255	0.009021	-0.002813
95	-0.002977	0.000639	-0.002155	-0.00725	-0.0061	0.018882	0.014938	-0.006429	-0.005443	0.015431	-0.00725	-0.000347	0.0105	0.003926	0.011979	-0.005443
96	0.002775	-0.000183	-0.003142	-0.007086	-0.007744	0.017567	0.011158	-0.005443	-0.00347	0.005569	-0.007744	-0.000512	0.013623	0.002611	0.003926	-0.004949
97	0.001132	-0.002484	-0.003306	-0.006922	-0.0061	0.020362	0.011486	-0.006264	0.000967	0.013952	-0.003306	-0.000676	0.011651	0.001789	0.009514	-0.007086
98	0.002775	-0.000512	-0.005936	-0.008401	-0.011852	0.01428	0.009185	-0.004292	-0.001991	0.011651	-0.00347	-0.000512	0.010829	0.002611	0.012308	-0.004949
99	0.000967	-1.9e-05	-0.004456	-0.006429	-0.0061	0.018718	0.008199	-0.001827	-0.000676	0.010336	-0.002977	-0.000841	0.01313	0.004255	0.011651	-0.006264
100	0.002775	0.000474	-0.002813	-0.007744	-0.007579	0.01576	0.007213	-0.000512	-0.000183	0.010829	-0.001827	-0.000512	0.011815	0.001625	0.011979	-0.010866
101	-1.9e-05	-0.002484	-0.004128	-0.006264	-0.010373	0.018554	0.00787	-0.001005	-0.000183	0.010664	0.001296	-0.000676	0.010171	0.002447	0.01313	-0.002155
102	0.003926	-0.002155	-0.005607	-0.006922	-0.00725	0.01691	0.005241	0.001954	-0.001334	0.007213	0.000474	-0.000841	0.008857	0.002282	0.016088	-0.005114
103	-0.001005	-0.002813	-0.005443	-0.008565	-0.009551	0.01691	0.010829	0.001954	0.00031	0.005076	0.003104	-0.000841	0.011322	0.003104	0.01576	-0.004456
104	0.000146	-0.001005	-0.0061	-0.008565	-0.00725	0.017403	0.006062	0.001789	0.000803	0.002611	0.000967	-0.000512	0.0105	0.003761	0.017239	-0.001334
105	0.000803	-0.002977	-0.004949	-0.005114	-0.00873	0.01691	0.003926	0.000803	-0.000841	0.004255	0.003761	-0.000347	0.007542	0.005569	0.016088	-0.006429
106	0.000146	0.000639	-0.004785	-0.006429	-0.005114	0.018882	0.00409	0.004255	0.000146	0.00294	0.003104	-0.000347	0.00787	0.007706	0.018225	-0.004456
107	0.000146	-0.000347	-0.005443	-0.005443	-0.000512	0.016417	0.005241	0.000639	-0.001991	0.001789	0.005898	-0.000512	0.00787	0.001954	0.017896	-0.006922
108	-0.003142	-0.004128	-0.005936	-0.006922	0.000146	0.017239	0.004583	0.002775	-0.001005	0.001132	0.005734	-0.000512	0.007377	0.004419	0.01954	-0.004128
109	-0.000676	-0.001334	-0.004456	-0.011359	0.000146	0.014445	0.000803	0.003433	-0.001498	-0.003635	0.005898	-0.000512	0.001789	0.002611	0.021676	-0.004456
110	-0.001662	-0.002648	-0.005607	-0.007579	0.001132	0.018554	0.000967	0.001954	-0.000512	-0.001662	0.010664	-0.000512	0.003104	0.003268	0.024799	-0.005114
111	-0.001005	-0.00232	-0.003799	-0.00725	-0.000512	0.018718	0.001625	0.002447	-0.002977	-0.003799	0.005734	-0.000512	0.006227	0.001954	0.022663	-0.005443
112	-0.000676	-0.001334	-0.004292	-0.0061	-1.9e-05	0.019047	0.003926	0.003104	-0.001991	-0.007579	0.009185	-0.000512	0.00294	0.003268	0.024799	-0.002977
113	-0.000676	-0.002977	-0.00347	-0.005771	0.000474	0.018554	-0.000841	0.001789	-0.004949	-0.005114	0.005241	-0.000676	0.002611	0.00146	0.023649	-0.005771
114	-0.001498	-0.003635	-0.005278	-0.0061	0.000146	0.018882	-0.001827	0.002282	0.000146	-0.006922	0.008528	-0.000676	0.003433	0.003104	0.022991	-0.004621
115	-0.000512	-0.00232	-0.008894	-0.005936	0.000474	0.016581	-0.000183	0.000639	-1.9e-05	-0.011031	0.000967	-0.000512	0.002775	0.002611	0.022334	-0.003306
116	-0.002813	-0.001991	-0.006264	-0.00347	0.002282	0.01954	0.000967	0.000803	-0.00347	-0.009551	0.002775	-0.000183	0.002611	0.001625	0.021676	-0.005771
117	-0.002648	-0.002484	-0.004128	-0.004785	0.000474	0.018718	0.000639	0.002118	-1.9e-05	-0.011031	0.00031	-0.000512	0.004419	0.001789	0.022827	-0.0061
118	-0.004785	-0.004456	-0.005936	-0.00232	0.00031	0.018882	0.001625	0.001132	-0.00347	-0.013003	0.002775	-0.000512	0.003104	0.001625	0.020362	-0.006264
119	-0.002484	-0.002813	-0.0061	-0.008072	-0.000183	0.018225	0.004583	0.003597	-0.004785	-0.011852	-1.9e-05	-0.000676	0.002611	0.002282	0.018554	-0.003635
120	-0.003306	-0.001662	-0.005278	-0.005607	0.001132	0.01576	0.002447	0.004419	-0.003635	-0.01251	0.000474	-0.000512	0.002282	0.001132	0.016417	-0.006264
121	-0.00347	0.000803	-0.004949	-0.004785	0.00031	0.014773	-0.001005	0.006227	-0.001005	-0.018427	0.001789	-0.000183	0.003761	0.002775	0.017403	-0.004621
122	-0.003799	-0.001334	-0.006922	-0.004128	0.001789	0.014938	0.002775	0.001625	-0.001169	-0.016948	0.001625	-0.000676	0.001625	0.000967	0.01576	-0.00347
123	-0.001991	-0.000183	-0.005936	-0.003799	0.000474	0.012308	0.003761	0.000803	0.000146	-0.01629	0.00146	-0.000512	0.00146	0.002118	0.012308	-0.005443
124	-0.004456	-0.003635	-0.001005	-0.005443	0.00409	0.012144	0.003761	0.001954	-0.001334	-0.020399	-0.001005	-0.000347	0.002282	0.001789	0.011815	-0.001662
125	-0.006429	-1.9e-05	-0.004785	-0.004621	0.006556	0.007377	0.003433	0.002282	0.000474	-0.019084	0.000474	-0.000512	-0.000183	0.003104	0.016088	-0.002484
126	-0.004949	-0.00347	-0.001498	-0.005936	0.006391	0.007542	0.003433	-0.000841	-0.001662	-0.0227	-0.001005	-0.000512	-0.000183	0.001296	0.008692	-0.002648
127	-0.003306	-0.004785	-0.003142	-0.002155	0.011651	0.006391	0.005405	0.001296	-0.000512	-0.021385	0.001296	-0.000183	-0.001334	0.003433	0.011979	-0.004621
128	-0.005443	-0.00725	-0.000347	-0.005114	0.008363	0.006556	0.003597	-0.001005	-0.002484	-0.023686	0.000474	0.000474	-0.001334	0.001625	0.010171	-0.005607
129	-0.004785	-0.004621	-0.00232	-0.005936	0.0105	0.007049	0.002775	-0.000347	0.002118	-0.021056	-0.001827	-0.000183	-0.002484	0.00031	0.012144	-0.00347
130	-0.001827	-0.00725	-0.001662	-0.003306	0.010993	0.002282	0.001132	-0.000512	-0.002484	-0.002155	-0.001498	0.006391	-0.002484	-0.000512	0.007706	-0.003963
131	-0.008565	-0.004456	-0.001005	-0.001662	0.01313	0.003761	0.003597	0.001954	0.000146	-0.000841	-0.002813	0.002118	-0.004128	0.000967	0.006556	-0.004292
132	-0.004785	-0.003799	0.000803	-0.004292	0.014116	0.001789	0.001296	0.001132	-0.002813	-0.004128	-0.00347	0.010664	-0.002155	-0.000347	0.005569	-0.003306
133	-0.006757	-0.006593	-0.000512	-0.003306	0.017239	0.000146	0.005405	0.001625	-0.001662	-0.003306	-0.003635	-0.000183	-0.003635	0.001789	0.004419	-0.002648
134	-0.007086	-0.001991	-0.000676	-0.005114	0.01576	-0.001169	0.003761	0.003926	-0.001005	-0.006757	-0.006593	-0.000347	-0.001991	0.001954	0.002447	-0.00232
135	-0.008401	-0.005607	-0.000347	-0.002648	0.018554	0.006391	0.00672	0.001954	-0.004128	-0.00347	-0.006757	0.001954	-0.001334	-0.001662	0.001132	-0.002484
136	-0.008072	-0.004785	-0.001498	-0.002977	0.020855	-0.004949	0.005405	0.003597	0.000474	-0.001991	-0.007908	0.000803	-0.00232	0.002282	0.004583	-0.002648
137	-0.005443	-0.004621	-0.001991	-0.002484	0.018882	-0.005114	0.004255	0.001789	0.002118	-0.004949	-0.007744	0.006391	-0.002484	-0.000676	-0.003142	0.002282
138	-0.004621	-0.00347	0.000639	-0.001169	0.025292	-0.010209	0.007049	0.002775	-0.000183	-0.003142	-0.007579	0.003268	-0.003799	0.00146	0.00031	-0.001498
139	-0.006429	-0.004128	0.00146	-0.002648	0.021348	-0.010702	0.003761	0.002611	0.001132	-0.003635	-0.006922	-1.9e-05	-0.002155	0.001789	-0.001005	-0.001662
140	-0.001662	-0.003142	-0.000183	-0.006429	0.022827	-0.01366	0.00787	0.000639	0.00672	-0.004785	-0.010538	0.011815	-0.002484	0.00031	-0.002484	0.000803
141	-0.004949	-0.008072	-0.001991	-0.004785	0.022663	-0.014811	0.005569	-0.002977	-0.000676	-0.004949	-0.011688	0.013623	-0.001169	0.000474	-0.003142	0.000146
142	-0.007086	-0.002813	0.000803	-0.00347	0.023156	-0.01892	0.000474	0.004419	0.001296	-0.004128	-0.012181	0.011322	-0.002155	0.003433	-0.004621	-0.000183
143	-0.004949	-0.005771	0.001132	-0.007086	0.024635	-0.02007	-0.000676	0.002447	0.003433	-0.004949	-0.011359	0.003926	0.000803	0.003104	-0.005114	0.000146
