Ladekurvenmessung
Zeit: 2018_05_03 11.57.03
Info: FVA3, v = 1.05, T = 60, F = 20, h = 289.7
Ladewiderstand[Ohm]: 1012700
Störkapazität[pF]: 0.000000
Entladezeit[ms]: 200
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzögerung[ms]: 3
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7	Kurve_8	Kurve_9	Kurve_10	Kurve_11	Kurve_12	Kurve_13	Kurve_14	Kurve_15	Kurve_16
85	-0.003799	-0.018591	0.000146	0.003104	0.000474	0.002775	-0.001498	0.000803	-0.001169	-0.007086	-0.004292	-0.001169	-0.00347	-0.002484	0.003268	-0.00988
86	-0.005114	-0.019413	-0.00232	0.004912	0.000146	-0.003963	-0.002484	-0.004621	0.000803	-0.003635	-0.000841	-0.004949	-0.001498	-0.003799	0.003597	-0.011031
87	-0.003635	-0.016619	-0.000183	0.000474	-0.00232	-0.000347	-0.001498	-0.002813	-0.003306	-0.002484	-0.010702	-0.003799	-0.001005	-0.004292	0.004748	-0.00988
88	-0.001827	-0.016126	-0.00232	0.000803	0.001954	-0.001662	-0.001498	-0.002648	0.001296	-0.001991	-0.003635	-0.005114	-0.000347	-0.004128	-0.000183	-0.012674
89	-0.001169	-0.01514	-0.0061	-1.9e-05	-0.004292	0.00146	-0.000512	-0.001169	-0.001991	-0.001662	-0.010538	0.000639	0.000803	-0.002155	-0.000676	-0.008894
90	-0.002155	-0.017112	-0.005278	-0.000183	0.00031	-0.004621	-0.002155	-0.003306	-0.000676	0.00294	-0.006922	-0.011359	0.000803	-0.003142	0.002775	-0.010702
91	-0.004621	-0.014975	-0.002648	-0.001005	-0.000841	-0.001334	0.000474	-0.001498	-0.000183	-0.000841	-0.008072	-0.002813	-0.005771	-0.001662	-1.9e-05	-0.009716
92	-0.002155	-0.015961	-0.001005	0.000146	-0.000676	-0.001662	-0.005278	-0.000676	0.000639	-0.004621	-0.007744	-0.004128	-0.003142	-0.002813	0.000803	-0.010045
93	0.001132	-0.013496	-0.001991	-0.003799	-0.004292	-0.000676	-0.00347	-0.000841	0.00031	-0.001334	-0.013003	-0.002813	-0.00232	-0.001169	0.000474	-0.009058
94	-0.003142	-0.019084	-0.009223	0.000967	0.00031	-0.006922	-0.003963	-0.001169	0.000803	-0.008401	-0.007086	-0.003799	-0.001169	0.000967	-0.001169	-0.007415
95	0.000146	-0.017605	-0.003799	-0.004621	-0.003963	-0.001498	-0.003306	-0.001169	0.000639	-0.004292	-0.010045	-0.002813	-0.004621	0.000474	-0.005278	-0.006593
96	-0.001827	-0.016783	-0.002977	0.000146	-0.002648	0.002447	-0.002977	-0.001991	-1.9e-05	-0.003635	-0.007579	-0.002155	0.001132	-0.001005	-0.002155	-0.005771
