Ladekurvenmessung
Zeit: 2018_05_02 15.27.09
Info: FVA3, v = 0.8059, T = 40, F = 20, h = 332.7
Ladewiderstand[Ohm]: 1012700
Störkapazität[nF]: 0.000000
Entladezeit[ms]: 100
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500
Verzögerung [ms]: 1
Ladespannung[V]: 0.200000
	Kurve_1
912	0.184012
913	0.187335
914	0.188487
915	0.187072
916	0.188783
917	0.186447
918	0.189177
919	0.194441
920	0.186052
921	0.19148
922	0.189572
923	0.189243
924	0.186842
925	0.189408
926	0.185657
927	0.186644
928	0.188552
929	0.187927
930	0.181841
931	0.181709
932	0.18796
933	0.190822
934	0.190987
935	0.188223
936	0.193158
937	0.189901
938	0.194046
939	0.192994
940	0.192402
941	0.192895
942	0.192336
943	0.191447
944	0.192566
945	0.192566
946	0.192467
947	0.195461
948	0.19227
949	0.192303
950	0.193388
951	0.194869
952	0.192763
953	0.196251
954	0.193685
955	0.194704
956	0.196711
957	0.195264
958	0.191744
959	0.195198
960	0.194902
961	0.194737
962	0.194968
963	0.194277
964	0.1976
965	0.192895
966	0.196185
967	0.19533
968	0.194507
969	0.192731
970	0.196119
971	0.194145
972	0.196119
973	0.197501
974	0.196152
975	0.197698
976	0.193586
977	0.193388
978	0.192665
979	0.19375
980	0.192928
981	0.191513
982	0.194474
983	0.196909
984	0.195362
985	0.195724
986	0.194737
987	0.195297
988	0.195494
989	0.197205
990	0.19783
991	0.197238
992	0.196251
993	0.198554
994	0.19806
995	0.198027
996	0.199442
997	0.198587
998	0.200889
999	0.201186
1000	0.200626
1001	0.199705
1002	0.201515
1003	0.19987
1004	0.202633
1005	0.201186
1006	0.199277
1007	0.204607
1008	0.205101
1009	0.201218
1010	0.203028
1011	0.204377
1012	0.202863
1013	0.203883
1014	0.199606
1015	0.206515
1016	0.20339
1017	0.206087
1018	0.207765
1019	0.209542
1020	0.206186
1021	0.208555
1022	0.207206
1023	0.208654
1024	0.207305
1025	0.203324
1026	0.204607
1027	0.205759
1028	0.206153
1029	0.204804
1030	0.207305
1031	0.202403
1032	0.208555
1033	0.208358
1034	0.207765
1035	0.204114
1036	0.205265
1037	0.207338
1038	0.206745
1039	0.207206
1040	0.20816
1041	0.208423
1042	0.206318
1043	0.208193
1044	0.207338
1045	0.207305
1046	0.207667
1047	0.206877
1048	0.208061
1049	0.2077
1050	0.205791
1051	0.208555
1052	0.207403
1053	0.206647
1054	0.208423
1055	0.209279
1056	0.208193
1057	0.208555
1058	0.213391
1059	0.214016
1060	0.21168
1061	0.210792
1062	0.210134
1063	0.206318
1064	0.206811
1065	0.206449
1066	0.210496
1067	0.20668
1068	0.20793
1069	0.209344
1070	0.208654
1071	0.209937
1072	0.209904
1073	0.205364
1074	0.20214
1075	0.205857
1076	0.204081
1077	0.207173
1078	0.206515
1079	0.205232
1080	0.204081
1081	0.203258
1082	0.205594
1083	0.205561
1084	0.206285
1085	0.205101
1086	0.204903
1087	0.203357
1088	0.205462
1089	0.206745
1090	0.204541
1091	0.20543
1092	0.202633
1093	0.206285
1094	0.209871
1095	0.205101
1096	0.203488
1097	0.204212
1098	0.202995
1099	0.199705
1100	0.200824
1101	0.199771
1102	0.200133
1103	0.199245
