Ladekurvenmessung
Zeit: 2018_05_03 13.53.46
Info: FVA3, v = 2.06, T = 40, F = 20, h = 599.6
Ladewiderstand[Ohm]: 1012700
Störkapazität[pF]: 0.000000
Entladezeit[ms]: 200
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzögerung[ms]: 3
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7	Kurve_8	Kurve_9	Kurve_10	Kurve_11	Kurve_12	Kurve_13	Kurve_14	Kurve_15	Kurve_16	Kurve_17	Kurve_18
53	0.003597	-0.009551	0.009678	0.000967	-0.001169	0.010664	-0.001991	-0.002977	-0.000676	0.000967	0.007213	0.000967	0.023813	0.0105	-0.018427	-0.006429	0.006227	0.006062
54	0.00294	-0.008565	0.003268	0.004255	-0.001991	0.00787	-0.006757	-0.004621	-0.002813	0.002775	0.012308	0.00146	0.021512	0.012637	-0.020728	-0.006593	0.011158	0.002775
55	0.00031	-0.011524	0.008363	0.003597	-0.001662	0.010993	-0.002813	-0.005443	0.000803	0.003104	0.005898	0.00146	0.022334	0.012472	-0.019413	-0.004949	-0.000512	0.004912
56	0.004912	-0.010045	0.005734	0.002775	0.000639	0.00787	-0.012839	-0.005278	0.000803	0.002118	0.003761	0.002447	0.021512	0.010829	-0.020235	-0.0061	0.00146	0.004583
57	-0.002155	-0.011359	0.003597	0.006556	-0.004292	0.011322	-0.004292	-0.005443	0.002447	0.001789	0.00672	-0.002484	0.021019	0.010993	-0.019906	-0.004292	-0.001334	-1.9e-05
58	-0.002813	-0.007908	0.003926	0.005734	-0.000841	0.012965	-0.005443	-0.003963	0.002118	0.001954	0.004583	0.002611	0.022827	0.01313	-0.018591	-0.004456	0.004255	-0.001334
59	-0.000183	-0.010866	0.005405	0.006556	-0.000676	0.010664	-0.004292	-0.004949	0.001296	0.000803	0.00146	0.00031	0.020526	0.013787	-0.022207	-0.002977	0.000639	0.001132
60	-0.001169	-0.009058	0.007049	0.005898	-0.000841	0.012308	-0.006757	-0.003142	0.004583	-0.001005	-0.001498	-1.9e-05	0.020033	0.015102	-0.017605	-0.006757	-0.000347	0.002775
61	-0.001169	-0.010373	0.00672	0.004583	0.000146	0.010336	-0.005771	-0.004456	0.00409	-0.000512	-0.002813	-0.001005	0.022169	0.015595	-0.016948	-0.005114	-0.000347	0.004419
62	-0.003142	-0.009387	0.004912	0.005734	0.00031	0.009678	-0.004949	-0.005114	0.003104	-0.000512	-0.003306	0.001625	0.021841	0.015924	-0.017934	-0.002977	-0.000841	0.004255
