,FileName,Kap_6_F,Kap_7_F,Kap_8_F,Kap_9_F,Kap_10_F,Oil,Speed,Temperature,Load,Film
81,2018_05_03_13_42_36_m003,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,9.984447e-11,FVA3,0.275,40.0,20.0,214.6
82,2018_05_03_13_42_45_m003,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,1.649901e-10,FVA3,0.275,40.0,20.0,214.6
83,2018_05_03_13_43_35_m003,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,1.821949e-10,FVA3,0.381,40.0,20.0,273.5
84,2018_05_03_13_43_53_m003,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,9.952129e-11,FVA3,0.381,40.0,20.0,273.5
85,2018_05_03_13_44_03_m003,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,1.483605e-10,FVA3,0.381,40.0,20.0,273.5
86,2018_05_03_13_47_56_m003,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,9.921181999999999e-11,FVA3,0.748,40.0,20.0,345.0
87,2018_05_03_13_48_06_m003,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,1.143349e-10,FVA3,0.748,40.0,20.0,345.0
88,2018_05_03_13_48_16_m003,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,1.967594e-10,FVA3,0.748,40.0,20.0,345.0
89,2018_05_03_13_50_16_m003,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,1.652336e-10,FVA3,1.05,40.0,20.0,465.0
90,2018_05_03_13_50_29_m003,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,1.561034e-10,FVA3,1.05,40.0,20.0,465.0
91,2018_05_03_13_50_44_m003,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,1.025943e-10,FVA3,1.05,40.0,20.0,465.0
92,2018_05_03_13_50_58_m003,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,1.661604e-10,FVA3,1.05,40.0,20.0,465.0
93,2018_05_03_13_52_14_m003,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,9.108054e-11,FVA3,1.47,40.0,20.0,552.7
94,2018_05_03_13_52_24_m003,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,9.473092e-11,FVA3,1.47,40.0,20.0,552.7
95,2018_05_03_13_52_35_m003,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,9.344962e-11,FVA3,1.47,40.0,20.0,552.7
96,2018_05_03_13_53_22_m003,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,1.013754e-10,FVA3,2.06,40.0,20.0,599.6
97,2018_05_03_13_53_34_m003,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,9.719204e-11,FVA3,2.06,40.0,20.0,599.6
98,2018_05_03_13_53_46_m003,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,8.803013e-11,FVA3,2.06,40.0,20.0,599.6
99,2018_05_03_13_53_57_m003,1.008187e-10,1.008612e-10,9.383346e-11,1.000262e-10,1.064268e-10,FVA3,2.06,40.0,20.0,599.6
