x-axis,y_1,y_2
Hz,Cp,D 
22285.000000,9.530021E-12,5.368705E-02
22532.500000,9.543910E-12,5.640398E-02
22780.000000,9.422606E-12,5.290862E-02
23027.500000,9.476716E-12,5.663772E-02
23275.000000,9.494253E-12,5.872858E-02
23522.500000,9.577968E-12,5.108231E-02
23770.000000,9.544371E-12,6.124403E-02
24017.500000,9.224971E-12,3.924058E-02
24265.000000,9.336357E-12,5.740554E-02
24512.500000,9.388682E-12,4.685810E-02
24760.000000,9.694949E-12,6.160935E-02
25007.500000,9.491664E-12,8.582705E-02
25255.000000,9.478310E-12,6.276885E-02
25502.500000,9.457692E-12,4.657058E-02
25750.000000,9.300364E-12,6.621778E-02
25997.500000,9.363144E-12,5.738479E-02
26245.000000,9.494078E-12,6.614040E-02
26492.500000,9.407051E-12,6.516166E-02
26740.000000,9.188386E-12,6.537367E-02
26987.500000,9.492647E-12,7.099464E-02
27235.000000,9.442726E-12,7.797219E-02
27482.500000,9.365521E-12,7.110541E-02
27730.000000,9.246584E-12,7.443793E-02
27977.500000,9.352183E-12,5.803695E-02
28225.000000,9.372993E-12,7.453500E-02
28472.500000,9.385092E-12,6.720049E-02
28720.000000,9.273619E-12,5.816704E-02
28967.500000,9.303489E-12,7.877904E-02
29215.000000,9.130042E-12,7.938836E-02
29462.500000,9.252760E-12,6.215259E-02
29710.000000,9.261045E-12,9.238931E-02
29957.500000,9.215622E-12,8.331296E-02
30205.000000,8.998157E-12,6.258120E-02
30452.500000,9.128270E-12,5.020835E-02
30700.000000,8.981165E-12,5.311083E-02
30947.500000,9.038922E-12,5.918323E-02
31195.000000,9.124725E-12,5.263994E-02
31442.500000,8.913347E-12,4.853049E-02
31690.000000,9.099825E-12,3.748354E-02
31937.500000,9.038520E-12,5.833204E-02
32185.000000,8.969488E-12,4.899483E-02
32432.500000,9.056934E-12,5.902436E-02
32680.000000,9.084376E-12,4.843779E-02
32927.500000,9.057924E-12,5.692412E-02
33175.000000,8.994442E-12,5.687926E-02
