Ladekurvenmessung
Zeit: 2018_05_03 11.58.28
Info: FVA3, v = 1.47, T = 60, F = 20, h = 337.9
Ladewiderstand[Ohm]: 1012700
Störkapazität[pF]: 0.000000
Entladezeit[ms]: 200
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzögerung[ms]: 3
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7	Kurve_8	Kurve_9	Kurve_10	Kurve_11	Kurve_12	Kurve_13	Kurve_14	Kurve_15
43	-0.00347	-0.000841	0.016746	-0.000183	-0.002484	-0.001498	-0.056722	0.013459	-0.00988	-0.001169	-0.004456	-0.001334	0.020033	0.000803	0.001789
44	-0.002484	-0.001005	0.017567	-0.004621	-0.000512	0.002282	-0.061324	0.016253	-0.011524	-0.000676	-0.001662	-0.001334	0.019704	-0.000347	-0.002484
45	-0.002813	0.000803	0.020197	-0.001334	-0.002813	-0.001991	-0.060009	0.013294	-0.010209	0.000803	-0.000183	0.000967	0.017074	0.00146	0.002447
46	-0.00232	-0.006264	0.020033	0.001954	-0.000676	-0.004785	-0.062146	0.013294	-0.005607	0.00031	-0.000841	-0.001169	0.021676	-0.006757	-0.000183
47	-0.002977	-0.003306	0.01691	-0.004621	-0.002155	-0.001827	-0.064118	0.008692	-0.012346	0.001132	-1.9e-05	0.001789	0.018554	-0.003799	0.001954
48	0.001296	-0.001334	0.014609	-0.001169	-0.000347	0.001954	-0.061981	0.016088	-0.013825	0.008363	0.00146	-0.001005	0.020362	-0.001169	0.002282
49	-0.001334	-0.004621	0.018225	0.000639	-0.001334	-0.005936	-0.062474	0.014773	-0.011031	-0.00232	0.000146	0.001132	0.019047	-0.005607	0.000474
50	-0.000841	-0.00232	0.005569	-0.002813	0.001789	-0.003306	-0.063296	0.013459	-0.013167	0.001296	-0.000183	-0.001991	0.021183	-0.006922	0.001625
51	0.000803	-0.003142	0.006062	0.003761	-0.000347	-0.004128	-0.06231	0.012144	-0.009551	-0.001498	0.00409	0.00146	0.020855	-0.008072	0.00146
52	-0.00347	0.001296	0.004912	-0.000841	-0.000676	-0.002813	-0.065926	0.01576	-0.009716	0.001625	-0.000841	-0.005443	0.019047	-0.011688	0.000474
53	-0.000347	-0.001498	0.008035	-0.000676	0.001296	-0.004292	-0.061981	0.016746	-0.00988	-0.001005	-0.001005	0.001296	0.021183	-0.010045	0.000803
54	-0.003306	0.000639	0.002447	-0.000512	-0.001827	0.000474	-0.064282	0.016746	-0.014975	-0.001334	0.000803	0.000146	0.021183	-0.012181	0.000967
55	-0.000347	0.000639	-0.001334	-0.000347	-0.000841	-0.000347	-0.063296	0.012308	-0.007579	-0.0061	0.00031	-0.002648	0.017567	-0.011359	0.001132
56	-0.001991	-0.002648	0.004255	-0.001662	-0.003635	-0.003306	-0.060995	0.012144	-0.015797	-0.001005	0.000146	-0.000183	0.016417	-0.019084	-0.000183
57	-0.003635	-0.001005	0.006391	0.002282	-0.001498	0.000474	-0.063296	0.012308	-0.01366	0.00294	-0.001827	-0.00232	0.018061	-0.013825	0.002775
58	-0.000676	-0.004128	0.004583	-0.002977	-0.001991	0.000474	-0.059352	0.011486	-0.008401	-0.000841	-0.000676	-0.000183	0.014609	-0.014647	-1.9e-05
59	-0.001498	-0.003963	0.000146	0.000967	-0.002977	0.003104	-0.059187	0.011979	-0.010373	-0.010209	-1.9e-05	0.00146	0.020033	-0.014318	0.000639
60	0.000967	-0.003635	0.004419	-1.9e-05	-0.002977	-0.001005	-0.059352	0.012801	-0.009551	-0.000676	-0.000183	-0.001005	0.020526	-0.016783	-0.000183
61	-0.003963	-0.003306	0.004912	-0.001334	0.001625	-0.001991	-0.056886	0.013952	-0.012181	-0.001827	0.001296	0.000146	0.018718	-0.017934	-0.003306
62	0.00031	-0.003799	0.006227	-0.00347	-0.00232	-0.000183	-0.056229	0.012637	-0.011031	0.00031	-0.001005	-1.9e-05	0.018225	-0.018427	-0.000512
63	0.000639	-0.001827	0.005569	-0.001827	0.000967	0.002611	-0.060009	0.012472	-0.012674	0.000967	-0.001169	-0.004621	0.021512	-0.014975	-0.001662
64	-0.0061	-0.005114	0.00672	-0.002484	0.004255	-0.002484	-0.05475	0.012308	-0.008565	0.001132	-0.001005	-0.001827	0.022827	-0.015633	0.001296
65	0.003268	-0.002813	0.00409	-0.001827	-0.001169	0.000967	-0.059352	0.012965	-0.008401	-0.000183	0.000146	-0.003142	0.021676	-0.019084	-0.001005
66	0.002282	-0.004949	0.008857	-0.000512	-0.004949	0.003268	-0.05475	0.012308	-0.011195	-0.003142	0.001132	-0.000183	0.023649	-0.019742	0.002118
67	-0.004292	-0.004621	0.005569	-0.002648	0.000967	-0.001334	-0.054585	0.015102	-0.011852	0.005076	0.00146	-0.001169	0.021676	-0.016783	0.004583
68	0.004748	-0.004456	0.003433	0.001132	-0.001005	-0.001662	-0.053106	0.011815	-0.008565	-0.003963	0.000967	-0.001662	0.023649	-0.017934	0.00409
69	0.000803	-0.000347	0.002118	-0.001827	-0.001169	-0.001991	-0.057215	0.013459	-0.011524	0.004419	-0.001169	0.001625	0.021512	-0.019577	0.000639
