Ladekurvenmessung

Zeit: 2018_05_04 10.02.00

Info: FVA3, v = 1.05, T = 23, F = 20, h = 587.3

Ladewiderstand[Ohm]: 1012700

Störkapazität[pF]: 0.000000

Entladezeit[ms]: 200

Abtastrate[Hz]: 250000

Anzahl der Messwerte: 2500.000000

Verzögerung[ms]: 3

Ladespannung[V]: 0.200000


	Kurve_1	Kurve_2	Kurve_3
179	-0.000347	-1.9e-05	-0.003635
180	0.003433	0.000474	0.001132
181	0.003104	-0.001498	-0.004128
182	-0.002813	-0.001005	-0.003306
183	0.001789	0.001132	-0.001991
184	0.000639	-0.001662	0.002282
185	-0.002155	-0.001662	-0.001662
186	0.001625	-0.002977	-0.000512
187	-0.001662	-0.002484	-0.00347
188	-0.000676	-0.006429	-0.002813
189	-0.002648	-0.004949	-0.00232
190	0.00146	-0.00232	-0.004785
191	-0.002155	-0.004128	-0.001005
192	0.001789	-0.002484	-0.002648
193	-0.000512	-0.00232	-0.002484
194	0.003597	0.001954	-0.00232
195	-0.003635	-0.005278	-0.000347
196	-0.00347	-0.004128	-0.003799
197	-0.001827	-0.004128	-0.001169
198	-0.001498	-0.002813	-0.001169
199	0.000967	-0.004456	-0.000676
200	0.00146	-0.002484	-0.003635
201	-0.000512	-0.004785	-0.000183
202	-0.001991	-0.002977	0.002118
203	-0.001827	-0.002813	0.003104
204	-0.004621	-0.000841	0.00031
205	0.003104	0.004912	-0.000183
206	-0.005443	0.000803	0.003761
207	-0.002813	-0.001169	-0.002813
208	-0.006264	0.000967	-0.001498
209	0.000803	-1.9e-05	-0.003142
210	0.001789	-0.00347	-0.001991
211	0.002118	-0.00347	-0.003963
212	-0.001005	-0.001827	-0.000183
213	-0.003799	-0.001827	-0.007908
214	-0.001169	-0.002813	0.001789
215	-0.002484	-0.001334	-0.003799
216	0.002611	0.000474	-0.001169
217	-0.004128	-0.006429	-0.000841
218	-0.000841	-0.003142	-0.002648
219	-0.003963	-0.002155	-0.001991
220	0.000639	-0.001827	-0.000841
221	-0.001662	-0.001169	0.002611
222	-0.001662	-0.002648	-0.000676
223	-0.001498	-0.000676	0.000146
224	0.00031	-0.001827	-0.001662
225	0.000803	0.001296	-0.003799
226	-0.000512	0.00294	-0.003799
