Ladekurvenmessung

Zeit: 2018_05_04 09.00.42

Info: FVA3, v = 0.382, T = 23, F = 20, h = 314.9

Ladewiderstand[Ohm]: 1012700

Störkapazität[pF]: 0.000000

Entladezeit[ms]: 200

Abtastrate[Hz]: 250000

Anzahl der Messwerte: 2500.000000

Verzögerung[ms]: 3

Ladespannung[V]: 0.200000


	Kurve_1	Kurve_2
125	0.000639	-0.002155
126	-0.000183	-0.000512
127	0.000474	-0.000512
128	0.000803	-1.9e-05
129	0.000639	0.00146
130	-0.001169	-1.9e-05
131	0.002775	0.000474
132	-0.000676	0.003104
133	0.001954	0.004419
134	-0.001498	0.002282
135	0.000967	0.000803
136	0.002118	0.002611
137	0.000146	0.00294
138	0.000803	0.002447
139	0.00031	-1.9e-05
140	-0.002648	0.000803
141	-0.00347	0.000967
142	-0.003306	0.001132
143	-0.001991	-0.000347
144	-0.001005	0.000146
145	-0.005443	0.000967
146	-0.000347	-0.000183
147	-0.000183	0.000639
148	-1.9e-05	0.000803
149	-0.00232	0.00409
150	-0.001334	0.00146
151	-0.001169	0.004419
152	-0.000676	0.002282
153	-0.000841	0.00146
154	-0.000841	0.001132
155	0.00031	0.000803
156	-0.002155	0.000967
157	-0.002155	-0.00232
158	0.001132	0.001296
159	-0.000676	-0.001991
160	-0.001827	0.002611
161	0.00146	-0.001498
162	0.000803	0.004255
163	-0.003635	-0.000676
164	-0.00232	0.002118
165	0.001132	0.001789
166	0.000146	0.001296
167	-0.000512	0.001132
168	0.000803	-0.000183
169	-1.9e-05	0.002118
170	0.001789	0.002611
171	-0.000183	0.002775
172	0.000474	0.000474
173	0.002282	0.00409
174	0.001296	0.002447
175	-0.003799	0.002611
176	-0.000841	0.00146
177	-0.003963	0.003433
178	0.002282	-0.001169
179	-0.000676	0.001625
180	0.001132	0.000146
181	-0.000183	0.000146
182	0.00031	0.000639
183	0.000474	0.00146
184	0.000146	0.003926
185	-0.000347	0.000639
186	0.001132	0.002118
187	0.000967	0.001132
188	0.000803	0.003761
189	-1.9e-05	-0.000183
190	-1.9e-05	0.002118
191	-0.000183	0.00031
192	-0.001334	0.001954
193	-1.9e-05	0.000639
194	-0.002813	0.000639
195	-0.001827	0.00031
196	-0.002813	0.000474
197	-0.000676	0.000967
198	0.000146	-0.002484
199	0.003104	0.000639
200	-1.9e-05	-0.001169
201	0.001132	-0.001169
202	-0.000183	-0.000676
203	0.000967	0.000474
204	0.002282	-0.000841
205	0.00146	0.000803
206	0.000474	-0.000512
207	-0.003142	0.000639
208	-0.00232	-0.000512
209	-0.001005	0.001789
210	0.000803	0.00294
211	-0.001334	-0.001005
212	-0.000183	-0.003799
213	-0.001662	0.002118
214	-0.000512	-0.001662
215	-0.000676	-0.000183
216	0.000474	0.001296
217	0.002611	-0.000183
218	0.000146	0.000146
219	-0.003142	0.00146
220	0.00146	0.000474
221	0.001296	-0.001662
222	0.001625	0.000639
223	0.004419	0.001296
224	0.000967	0.003761
225	0.001296	0.001132
226	0.00031	0.003104
227	-0.001005	0.003597
228	-0.001991	0.000803
229	-0.000841	0.001132
230	-0.001498	-0.001005
