Ladekurvenmessung

Zeit: 2018_05_03 11.58.49

Info: FVA3, v = 1.47, T = 60, F = 20, h = 337.9

Ladewiderstand[Ohm]: 1012700

Störkapazität[pF]: 0.000000

Entladezeit[ms]: 200

Abtastrate[Hz]: 250000

Anzahl der Messwerte: 2500.000000

Verzögerung[ms]: 3

Ladespannung[V]: 0.200000


	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7	Kurve_8	Kurve_9	Kurve_10	Kurve_11	Kurve_12	Kurve_13	Kurve_14	Kurve_15
61	0.009514	0.001789	0.012308	-0.015961	-0.002155	0.00031	-0.001662	-0.005771	0.016417	-0.004456	-1.9e-05	0.008528	-0.01251	0.010664	-0.01514
62	0.014116	0.003104	0.011979	-0.014647	0.002447	-0.00347	0.005569	-0.011031	0.02069	-0.003142	-0.002648	0.000146	-0.011524	0.010007	-0.014482
63	0.013459	0.00409	0.013623	-0.015797	-0.00347	-0.000676	0.001132	-0.010702	0.019868	-0.000512	0.006062	0.000474	-0.010373	0.010171	-0.013989
64	0.01428	0.006062	0.013459	-0.020399	-0.003306	-0.000512	0.008363	-0.006264	0.020526	-0.003799	-0.001991	0.000803	-0.010866	0.010336	-0.016783
65	0.015266	0.000474	0.014938	-0.016126	-0.002155	-0.003799	0.007377	-0.009551	0.022334	-0.004292	-0.002155	0.002118	-0.007579	0.009185	-0.01366
66	0.01428	0.002775	0.011486	-0.020235	-0.002484	0.001132	0.007213	-0.009387	0.0271	-0.001991	-1.9e-05	0.001625	-0.007086	0.007049	-0.015633
67	0.01691	-0.000183	0.010829	-0.019084	-0.001662	-0.000841	0.005076	-0.017934	0.026278	-0.001005	-0.001334	0.002118	-0.004292	0.010171	-0.014975
68	0.015102	-0.001334	0.012308	-0.02155	0.000803	-0.002155	0.011322	-0.010045	0.029237	-0.004128	-0.000512	-0.000841	-0.002484	0.006062	-0.018591
69	0.011651	-0.001827	0.011815	-0.023851	-0.002977	-0.001991	0.003597	-0.010209	0.030387	-0.001662	-0.001005	0.000146	-0.000512	0.004748	-0.016783
70	0.013294	0.001954	0.009678	-0.018427	0.000803	0.000474	0.005898	-0.012181	0.031867	0.000474	-0.000183	-1.9e-05	0.005405	0.005405	-0.020235
