Ladekurvenmessung

Zeit: 2018_05_03 14.52.24

Info: SHC320, v = 0.428, T = 40, F = 20, h = 390.0

Ladewiderstand[Ohm]: 1012700

Störkapazität[pF]: 0.000000

Entladezeit[ms]: 200

Abtastrate[Hz]: 250000

Anzahl der Messwerte: 2500.000000

Verzögerung[ms]: 3

Ladespannung[V]: 0.200000


	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7	Kurve_8	Kurve_9	Kurve_10	Kurve_11	Kurve_12
57	0.003926	0.00031	0.006556	0.002282	0.009185	0.002775	0.001132	-0.001334	0.00146	-0.000841	0.001296	-0.010866
58	0.000146	0.002447	0.006062	0.000639	0.003926	0.002611	-0.001827	-0.001991	0.003104	0.000803	0.001132	-0.011195
59	0.002282	-0.005607	0.008363	0.004419	0.005076	0.003597	0.000967	0.00146	0.000639	-0.001991	0.001296	-0.010538
60	0.001132	0.001625	0.006391	0.008692	0.001954	0.005076	0.005241	-0.001005	0.00409	0.000967	-0.000512	-0.006429
61	-0.000183	0.000639	0.011322	0.005569	0.003926	0.008199	-0.000841	0.005898	0.00294	0.002447	0.005734	-0.009223
62	-0.001498	0.001954	0.003597	0.002775	0.005241	-0.00232	0.00409	-0.001498	0.005898	0.001132	-0.000841	-0.0061
63	0.003597	-1.9e-05	0.005405	0.003433	0.003597	0.000639	0.002118	0.000146	0.003268	0.001625	-0.000512	-0.003142
64	-0.000183	0.001296	0.009843	0.00294	0.002282	0.000967	0.001132	-0.000841	0.003104	0.003433	-0.003306	-0.007744
65	0.000803	-0.001334	0.008199	0.003268	0.004255	0.000803	0.001296	0.002447	0.003433	-0.001827	0.003433	-0.005936
66	0.000146	-0.003799	0.008857	0.00146	0.004255	0.000803	0.001132	-0.001662	0.002775	0.001132	-0.001827	-0.005278
67	-0.001991	-0.001334	0.012472	0.002447	0.002775	0.002118	0.004748	0.002775	0.000967	0.002447	-0.002484	-0.006264
68	0.001954	-0.00232	0.002775	-0.000512	0.001296	0.007049	0.003104	0.00031	-0.000841	0.001789	0.000803	-0.005443
69	-0.002648	0.00146	0.008692	0.004912	0.004583	-1.9e-05	0.003761	0.002118	-0.000512	0.003597	-0.004949	-0.006429
70	0.002775	-0.004949	0.003761	0.004255	0.004255	0.001789	0.002611	0.003104	0.002611	-0.004128	-0.000183	-0.008565
71	0.001132	0.002775	0.003597	-0.001827	0.005405	0.002118	0.002775	0.004748	0.005405	0.007542	-0.000676	-0.005936
