Ladekurvenmessung

Zeit: 2018_05_02 15.03.35

Info: FVA3, v = 0.0215, T = 40, F = 20, h = 45.9

Ladewiderstand[Ohm]: 1012700

Störkapazität[nF]: 0.000000

Entladezeit[ms]: 100

Abtastrate[Hz]: 250000

Anzahl der Messwerte: 2500

Verzögerung [ms]: 1


	Kurve_1
1111	0.122129
1112	0.12055
1113	0.11805
1114	0.116339
1115	0.115155
1116	0.109101
1117	0.108016
1118	0.108937
1119	0.111207
1120	0.111306
1121	0.11805
1122	0.119037
1123	0.119267
1124	0.120287
1125	0.122228
1126	0.117787
1127	0.121965
1128	0.124761
1129	0.124597
1130	0.125781
1131	0.125946
1132	0.127558
1133	0.128018
1134	0.128249
1135	0.127262
1136	0.126636
1137	0.129301
1138	0.119596
1139	0.102061
1140	0.103114
1141	0.103936
1142	0.093112
1143	0.093968
1144	0.095021
1145	0.098968
1146	0.097488
1147	0.101864
1148	0.099824
1149	0.100844
1150	0.094494
1151	0.092652
1152	0.08798
1153	0.08548
1154	0.090546
1155	0.0915
1156	0.090711
1157	0.091698
1158	0.095777
1159	0.093211
1160	0.096304
1161	0.098442
1162	0.103114
1163	0.10239
1164	0.103048
1165	0.102785
1166	0.106897
1167	0.106864
1168	0.109233
1169	0.104035
1170	0.110121
1171	0.112589
1172	0.115747
1173	0.1168
1174	0.119004
1175	0.118774
1176	0.123281
1177	0.124959
1178	0.126768
1179	0.130354
1180	0.122787
1181	0.127722
1182	0.129367
1183	0.128643
1184	0.128249
1185	0.130913
1186	0.12634
1187	0.128874
1188	0.128709
1189	0.127952
1190	0.127887
1191	0.126275
1192	0.12463
1193	0.125419
1194	0.126867
1195	0.123116
1196	0.124498
1197	0.120353
1198	0.1218
1199	0.11851
1200	0.109924
1201	0.109858
1202	0.110516
1203	0.109463
1204	0.104134
1205	0.105877
1206	0.10716
1207	0.107588
1208	0.099429
1209	0.090941
1210	0.079459
1211	0.073307
1212	0.071629
1213	0.073603
1214	0.080282
1215	0.084986
1216	0.083901
1217	0.08821
1218	0.089724
1219	0.093672
1220	0.095053
1221	0.097258
1222	0.10035
1223	0.100284
1224	0.103476
1225	0.105153
1226	0.106864
1227	0.102061
1228	0.097159
1229	0.097488
1230	0.103443
1231	0.104265
1232	0.10387
1233	0.097652
1234	0.093211
1235	0.095514
1236	0.096435
1237	0.093079
1238	0.092257
1239	0.095021
1240	0.09604
1241	0.101304
1242	0.099495
1243	0.099988
1244	0.102324
1245	0.105811
1246	0.10591
1247	0.109891
1248	0.108279
1249	0.111503
1250	0.112457
1251	0.106831
1252	0.099857
1253	0.09433
1254	0.093639
1255	0.089921
1256	0.096633
1257	0.094231
1258	0.097389
1259	0.095086
1260	0.092849
1261	0.097258
1262	0.097981
1263	0.094955
1264	0.085908
1265	0.082651
1266	0.086697
1267	0.086171
1268	0.089658
1269	0.095481
1270	0.092454
1271	0.09808
1272	0.097126
1273	0.095284
1274	0.092454
1275	0.093047
1276	0.087322
1277	0.082223
1278	0.075873
1279	0.078439
1280	0.07811
1281	0.080249
1282	0.081104
1283	0.074755
1284	0.077716
1285	0.075511
1286	0.077025
1287	0.082322
1288	0.082618
1289	0.084888
1290	0.084953
1291	0.079591
1292	0.086927
1293	0.08196
1294	0.083572
1295	0.078407
1296	0.082881
1297	0.085019
1298	0.089526
1299	0.09127
1300	0.091928
1301	0.095152
1302	0.095021
1303	0.095185
1304	0.098014
1305	0.09933
1306	0.097027
1307	0.091862
1308	0.082387
1309	0.086993
1310	0.083407
1311	0.08525
1312	0.088375
1313	0.094034
1314	0.093803
1315	0.08752
1316	0.079755
1317	0.077814
1318	0.078242
1319	0.079986
1320	0.082552
1321	0.081038
1322	0.087322
1323	0.084559
1324	0.084657
1325	0.073636
1326	0.072682
1327	0.069623
1328	0.066826
1329	0.069359
1330	0.066201
1331	0.068701
1332	0.070807
1333	0.065773
1334	0.065477
1335	0.067484
1336	0.060575
1337	0.068307
1338	0.068734
1339	0.074492
1340	0.073439
1341	0.079065
1342	0.084822
1343	0.087289
1344	0.086894
1345	0.089296
1346	0.088408
1347	0.091138
1348	0.096929
1349	0.099758
1350	0.102818
1351	0.105186
1352	0.108476
1353	0.10466
1354	0.11045
1355	0.11068
1356	0.114201
1357	0.11397
1358	0.115517
1359	0.119399
1360	0.122919
1361	0.121932
1362	0.124498
1363	0.125419
1364	0.128249
1365	0.129828
1366	0.131045
1367	0.13269
1368	0.133183
1369	0.136572
1370	0.137888
1371	0.139171
1372	0.135749
1373	0.136506
1374	0.136901
1375	0.138217
1376	0.136506
1377	0.139105
1378	0.133611
1379	0.137592
1380	0.134269
1381	0.132163
1382	0.130025
1383	0.121077
1384	0.118839
1385	0.113872
1386	0.120879
1387	0.115747
1388	0.117491
1389	0.11601
1390	0.117326
1391	0.113674
1392	0.107785
1393	0.11124
1394	0.11249
1395	0.112885
1396	0.116997
1397	0.118543
1398	0.116569
1399	0.121109
1400	0.119958
1401	0.121833
1402	0.124136
1403	0.123347
1404	0.119234
1405	0.123314
1406	0.123774
1407	0.125123
1408	0.123511
1409	0.121702
1410	0.124695
1411	0.123544
1412	0.123511
1413	0.125255
1414	0.124268
1415	0.123939
1416	0.126998
1417	0.127393
1418	0.12963
1419	0.129203
1420	0.129466
1421	0.12611
1422	0.13167
1423	0.128018
1424	0.131835
1425	0.130486
1426	0.129038
1427	0.125386
1428	0.126077
1429	0.127229
1430	0.127163
1431	0.128808
1432	0.130091
1433	0.133414
1434	0.128183
1435	0.132032
1436	0.132065
1437	0.132821
1438	0.135355
1439	0.135289
1440	0.13042
1441	0.130617
1442	0.133282
1443	0.13473
1444	0.13473
1445	0.131341
1446	0.130782
1447	0.128117
1448	0.128874
1449	0.129433
