Oil	Temp	Load	Pressung	Speed	Film	Cap
SHC320	80	20	828131220.0443854	0.17279999999999998	9.708954763452134e-08	8.024152313663647e-12
SHC320	40	30	947973602.2878757	0.17279999999999998	2.8136408918839954e-07	3.6282495242080712e-12
SHC320	60	30	947973602.2878757	0.17279999999999998	1.5242907271688932e-07	6.69727306301415e-12
SHC320	80	30	947973602.2878757	0.17279999999999998	9.448750106497111e-08	1.080417104083522e-11
SHC320	40	40	1043379956.2090447	0.17279999999999998	2.7599281226449833e-07	4.480851316543477e-12
SHC320	60	40	1043379956.2090447	0.17279999999999998	1.4951918196580748e-07	8.27106422020636e-12
SHC320	80	40	1043379956.2090447	0.17279999999999998	9.268372242523311e-08	1.3343041516157617e-11
SHC320	40	20	828131220.0443854	0.20735999999999996	3.266767425323362e-07	2.3848080284043655e-12
SHC320	60	20	828131220.0443854	0.20735999999999996	1.7697721513080364e-07	4.4020430410112285e-12
SHC320	80	20	828131220.0443854	0.20735999999999996	1.09704366136281e-07	7.10146137042811e-12
SHC320	40	30	947973602.2878757	0.20735999999999996	3.1792164872493783e-07	3.211039974224226e-12
SHC320	60	30	947973602.2878757	0.20735999999999996	1.7223414065224953e-07	5.92715891786066e-12
SHC320	80	30	947973602.2878757	0.20735999999999996	1.0676423636408197e-07	9.561807937685856e-12
SHC320	40	40	1043379956.2090447	0.20735999999999996	3.11852483252078e-07	3.9656017591890494e-12
SHC320	60	40	1043379956.2090447	0.20735999999999996	1.689461685877906e-07	7.31998107165886e-12
SHC320	80	40	1043379956.2090447	0.20735999999999996	1.0472609325657138e-07	1.1808735700300885e-11
SHC320	40	20	828131220.0443854	0.24883199999999994	3.691217627862594e-07	2.1105808349079057e-12
SHC320	60	20	828131220.0443854	0.24883199999999994	1.9997181652935992e-07	3.895855585078007e-12
SHC320	80	20	828131220.0443854	0.24883199999999994	1.239582245729199e-07	6.284869930722582e-12
SHC320	40	30	947973602.2878757	0.24883199999999994	3.59229122023117e-07	2.8418050212013543e-12
SHC320	60	30	947973602.2878757	0.24883199999999994	1.9461247567460928e-07	5.245599590613694e-12
SHC320	80	30	947973602.2878757	0.24883199999999994	1.2063608453955941e-07	8.462303187503439e-12
SHC320	40	40	1043379956.2090447	0.24883199999999994	3.5237139153205897e-07	3.5096003418864383e-12
SHC320	60	40	1043379956.2090447	0.24883199999999994	1.9089729829461896e-07	6.478262223927838e-12
SHC320	80	40	1043379956.2090447	0.24883199999999994	1.1833312605275958e-07	1.0450858499593185e-11
SHC320	40	20	828131220.0443854	0.29859839999999993	4.1708165297059264e-07	1.867886810017584e-12
SHC320	60	20	828131220.0443854	0.29859839999999993	2.2595410022977463e-07	3.4478742253044634e-12
SHC320	80	20	828131220.0443854	0.29859839999999993	1.40064082957121e-07	5.562177696352046e-12
SHC320	40	30	947973602.2878757	0.29859839999999993	4.0590366408532375e-07	2.5150281040884033e-12
SHC320	60	30	947973602.2878757	0.29859839999999993	2.1989842167628177e-07	4.6424122326347634e-12
SHC320	80	30	947973602.2878757	0.29859839999999993	1.363102981733284e-07	7.489229621000107e-12
SHC320	40	40	1043379956.2090447	0.29859839999999993	3.9815491053785663e-07	3.1060341677597622e-12
SHC320	60	40	1043379956.2090447	0.29859839999999993	2.1570053231037469e-07	5.73333196235433e-12
SHC320	80	40	1043379956.2090447	0.29859839999999993	1.337081169170763e-07	9.249122526786355e-12
SHC320	40	20	828131220.0443854	0.3583180799999999	4.712729586345526e-07	1.6530999795560568e-12
SHC320	60	20	828131220.0443854	0.3583180799999999	2.5531225498044667e-07	3.0514058886196684e-12
SHC320	80	20	828131220.0443854	0.3583180799999999	1.582625711380594e-07	4.9225872717845066e-12
SHC320	40	30	947973602.2878757	0.3583180799999999	4.586426166954497e-07	2.225827006836838e-12
SHC320	60	30	947973602.2878757	0.3583180799999999	2.484697637605185e-07	4.1085849130157256e-12
SHC320	80	30	947973602.2878757	0.3583180799999999	1.5402105811888078e-07	6.628049016122849e-12
SHC320	40	40	1043379956.2090447	0.3583180799999999	4.4988706970834144e-07	2.7488737495693014e-12
SHC320	60	40	1043379956.2090447	0.3583180799999999	2.4372644377173197e-07	5.074060643785374e-12
