,FileName,Kap_6_F,Kap_7_F,Kap_8_F,Kap_9_F,Kap_10_F,Oil,Speed,Temperature,Load,Film
85,2018_05_03_13_44_03_m003,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,1.483605E-10,FVA3,0.381,40,20,273.5
86,2018_05_03_13_47_56_m003,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,9.921182E-11,FVA3,0.748,40,20,345
87,2018_05_03_13_48_06_m003,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,1.143349E-10,FVA3,0.748,40,20,345
88,2018_05_03_13_48_16_m003,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,1.967594E-10,FVA3,0.748,40,20,345
89,2018_05_03_13_50_16_m003,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,1.652336E-10,FVA3,1.05,40,20,465
90,2018_05_03_13_50_29_m003,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,1.561034E-10,FVA3,1.05,40,20,465
91,2018_05_03_13_50_44_m003,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,1.025943E-10,FVA3,1.05,40,20,465
92,2018_05_03_13_50_58_m003,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,1.661604E-10,FVA3,1.05,40,20,465
93,2018_05_03_13_52_14_m003,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,9.108054E-11,FVA3,1.47,40,20,552.7
94,2018_05_03_13_52_24_m003,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,9.473092E-11,FVA3,1.47,40,20,552.7
95,2018_05_03_13_52_35_m003,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,9.344962E-11,FVA3,1.47,40,20,552.7
96,2018_05_03_13_53_22_m003,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,1.013754E-10,FVA3,2.06,40,20,599.6
97,2018_05_03_13_53_34_m003,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,9.719204E-11,FVA3,2.06,40,20,599.6
98,2018_05_03_13_53_46_m003,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,8.803013E-11,FVA3,2.06,40,20,599.6
99,2018_05_03_13_53_57_m003,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,1.064268E-10,FVA3,2.06,40,20,599.6
100,2018_05_03_14_00_22_m004,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,,FVA3,0.1,40,10,95
101,2018_05_03_14_00_34_m004,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,1.006996E-10,FVA3,0.1,40,10,95
102,2018_05_03_14_01_48_m004,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,9.467339E-11,FVA3,0.272,40,10,204.8
103,2018_05_03_14_01_58_m004,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,9.830004E-11,FVA3,0.272,40,10,204.8
104,2018_05_03_14_02_13_m004,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,9.749989E-11,FVA3,0.272,40,10,204.8
105,2018_05_03_14_06_06_m004,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,9.58666E-11,FVA3,0.382,40,10,0
106,2018_05_03_14_06_18_m004,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,1.720032E-10,FVA3,0.382,40,10,0
107,2018_05_03_14_06_28_m004,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,1.621168E-10,FVA3,0.382,40,10,0
108,2018_05_03_14_06_39_m004,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,1.60541E-10,FVA3,0.382,40,10,0
109,2018_05_03_14_47_07_mSHC320_005,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,1.648958E-10,SHC320,0.12,40,20,191.9
110,2018_05_03_14_47_58_mSHC320_005,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,1.746312E-10,SHC320,0.172,40,20,235.2
111,2018_05_03_14_48_08_mSHC320_005,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,1.630441E-10,SHC320,0.172,40,20,235.2
112,2018_05_03_14_49_33_mSHC320_005,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,2.984819E-10,SHC320,0.248,40,20,292
113,2018_05_03_14_49_46_mSHC320_005,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,1.640142E-10,SHC320,0.248,40,20,292
114,2018_05_03_14_49_58_mSHC320_005,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,2.084966E-10,SHC320,0.248,40,20,292
115,2018_05_03_14_50_25_mSHC320_005,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,,SHC320,0.248,40,20,292
116,2018_05_03_14_51_04_mSHC320_005,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,2.39817E-10,SHC320,0.248,40,20,292
117,2018_05_03_14_51_20_mSHC320_005,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,1.577044E-10,SHC320,0.248,40,20,292
118,2018_05_03_14_51_58_mSHC320_005,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,1.700249E-10,SHC320,0.428,40,20,390
119,2018_05_03_14_52_10_mSHC320_005,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,1.743941E-10,SHC320,0.428,40,20,390
120,2018_05_03_14_52_24_mSHC320_005,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,1.696858E-10,SHC320,0.428,40,20,390
121,2018_05_03_14_54_03_mSHC320_005,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,1.593095E-10,SHC320,0.614,40,20,461.9
122,2018_05_03_14_54_15_mSHC320_005,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,1.564613E-10,SHC320,0.614,40,20,461.9
123,2018_05_03_14_54_24_mSHC320_005,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,1.478622E-10,SHC320,0.614,40,20,461.9
124,2018_05_03_14_55_48_mSHC320_005,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,1.719704E-10,SHC320,0.886,40,20,530.7
125,2018_05_03_14_56_02_mSHC320_005,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,1.582994E-10,SHC320,0.886,40,20,530.7
126,2018_05_03_14_56_13_mSHC320_005,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,1.620498E-10,SHC320,0.886,40,20,530.7
127,2018_05_03_14_57_31_mSHC320_005,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,1.602451E-10,SHC320,1.06,40,20,576.5
128,2018_05_03_14_57_42_mSHC320_005,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,1.596944E-10,SHC320,1.06,40,20,576.5
129,2018_05_03_14_57_53_mSHC320_005,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,1.697386E-10,SHC320,1.06,40,20,576.5
130,2018_05_04_08_54_56_m006,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,1.661505E-10,FVA3,0.1,23,20,17.3
131,2018_05_04_08_55_03_m006,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,1.634453E-10,FVA3,0.1,23,20,17.3
132,2018_05_04_08_55_08_m006,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,1.61359E-10,FVA3,0.1,23,20,17.3
133,2018_05_04_08_55_14_m006,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,1.663926E-10,FVA3,0.1,23,20,17.3
134,2018_05_04_08_56_33_m006,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,1.511857E-10,FVA3,0.14,23,20,60.4
135,2018_05_04_08_56_39_m006,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,1.717214E-10,FVA3,0.14,23,20,60.4
136,2018_05_04_08_56_43_m006,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,1.755094E-10,FVA3,0.14,23,20,60.4
