Ladekurvenmessung
Zeit: 2018_05_03 11.57.23
Info: FVA3, v = 1.05, T = 60, F = 20, h = 289.7
Ladewiderstand[Ohm]: 1012700
Störkapazität[pF]: 0.000000
Entladezeit[ms]: 200
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzögerung[ms]: 3
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7	Kurve_8	Kurve_9	Kurve_10	Kurve_11	Kurve_12	Kurve_13	Kurve_14	Kurve_15
124	-0.000347	0.004255	0.00294	0.010993	-0.001169	0.002611	0.004912	-0.014811	0.000967	0.002611	0.002775	0.002118	0.001132	0.002447	-0.001662
125	0.000146	0.00031	0.003433	0.010007	-0.002813	0.001132	0.00146	-0.014153	0.002611	0.00294	-0.001991	0.003761	-0.001169	0.00294	0.00294
126	-1.9e-05	0.00672	0.00294	0.011979	-0.001827	0.001625	0.002775	-0.013332	-0.000512	-0.000512	0.002282	0.004912	-0.000841	0.003433	-0.002155
127	0.002447	0.004419	0.002611	0.008035	-0.004785	0.00031	-0.001334	-0.016948	0.002282	-0.000512	-0.001827	0.000967	0.004748	0.002447	-1.9e-05
128	0.000474	0.00031	0.003433	0.009185	0.000146	-0.000841	0.002447	-0.013003	0.001789	0.00031	-0.000676	0.002282	0.003268	-1.9e-05	-0.010373
129	0.000146	0.004583	0.000967	0.009678	-0.000841	-0.000183	0.001789	-0.015961	0.000146	-0.000183	-0.000183	0.000803	0.005241	0.001132	-0.001827
130	0.00031	0.004255	0.007049	0.001954	0.001296	0.00146	0.00031	-0.014811	0.005241	-0.002648	-0.001827	0.00294	0.005241	-0.000512	-0.002977
131	-0.000183	0.003104	0.00031	0.007377	-0.001334	-0.000512	0.001954	-0.01251	0.002118	0.000474	-0.005114	0.001296	0.007213	0.000639	-0.001334
132	-0.000512	0.011158	0.003268	0.006556	0.000803	0.003597	0.001132	-0.013003	0.002775	0.002775	-0.004785	0.001625	0.004748	0.000474	-0.001169
133	-0.000512	0.001954	-0.001169	0.009185	-0.000183	0.00146	0.000146	-0.011031	0.001625	-0.001169	-0.001827	0.001954	0.006227	0.002611	-0.001662
134	-0.000512	0.002775	0.000803	0.00787	0.000474	0.006391	0.001625	-0.016454	0.003433	0.005076	0.000639	0.00294	0.005405	0.000639	-0.002155
135	-0.000347	0.00031	0.001296	0.008363	-0.001827	0.003268	0.002611	-0.011195	0.002282	0.00031	-0.001498	0.003104	0.006884	0.001954	0.001789
136	-1.9e-05	0.000803	0.002118	0.007213	0.002611	0.001954	0.001954	-0.011852	0.003597	0.004583	-0.001334	0.001789	0.00935	0.004419	0.001625
137	0.000146	-0.000347	-0.000676	0.007213	0.002447	-0.000183	0.00409	-0.009716	0.001954	0.000967	-0.004785	0.00409	0.003104	0.003104	0.000474
138	0.000146	0.001625	0.001954	0.003104	0.00031	-0.000841	0.004419	-0.008565	0.005405	-0.000183	-0.001498	0.002282	0.004255	0.001954	0.001954
139	0.00031	-0.000676	0.001132	0.010336	0.001296	0.001954	0.004583	-0.007908	0.000146	0.001132	-0.001498	0.005076	0.009185	0.000474	0.000639
140	0.000146	0.00031	0.003268	0.008199	0.003761	-0.002484	0.001132	-0.010866	0.00031	0.00031	-0.004621	0.001954	0.011322	0.001954	-0.000841
141	0.00031	0.005569	-0.007415	0.008528	0.001789	-1.9e-05	0.005076	-0.00873	-0.000841	0.002611	-0.002484	0.003926	0.007542	0.00146	-0.001498
142	-0.000183	0.003433	-0.001662	0.006062	0.000967	0.000146	0.00294	-0.011524	0.002118	0.002447	-0.002977	0.002118	0.016088	0.001789	-1.9e-05
143	-0.000183	-0.003306	-0.000841	0.006884	0.003926	0.002447	0.004748	-0.009716	-0.001169	0.006884	-0.002977	0.003926	0.009843	-0.001334	-0.00232
144	-0.000512	0.001954	0.001296	0.008857	0.003761	0.002447	0.000967	-0.011359	0.000146	0.003104	-0.003306	0.001789	0.008857	-1.9e-05	0.000967
145	-0.000512	0.002775	0.003926	0.006227	0.001954	0.002611	0.002118	-0.011195	0.000474	0.000639	0.004912	0.004583	0.012144	-0.000676	-0.001662
146	-0.000512	0.003268	0.002775	0.008035	-0.001169	0.002282	0.00031	-0.012181	-0.000183	0.003433	-0.008565	0.000474	0.009843	0.001132	-0.00347
147	-0.000183	-1.9e-05	0.008363	0.005898	-0.000183	0.000803	0.000967	-0.007415	0.000967	0.001296	-0.008401	0.003268	0.009514	0.001954	-0.001498
148	0.000146	0.002447	0.001954	0.007377	0.002611	0.001625	-0.000347	-0.008401	-0.001169	0.000474	-0.008401	-0.000183	0.016746	-0.000183	0.000474
149	0.000146	0.003104	0.005405	0.004748	0.000639	0.012965	0.002611	-0.007744	0.001132	-0.000512	-0.005278	-0.000512	0.012637	0.00146	-0.001334
150	0.00031	-0.002648	0.005405	0.007542	0.00409	0.000967	0.002118	-0.004456	0.000639	0.001296	-0.006264	0.000639	0.01576	0.001789	0.000474
151	0.000146	0.00146	0.002775	0.004912	0.004255	0.004583	0.002447	-0.00873	0.001296	0.000146	-0.003799	0.000474	0.016253	-0.000512	-0.002155
152	0.000146	-0.001991	0.000474	0.005076	0.00146	0.003433	0.005076	-0.003963	-0.000512	0.003104	-0.005114	-0.001169	0.01691	0.001954	0.001954
153	0.000146	0.001625	0.00146	0.007542	0.003926	0.000967	0.00031	-0.005443	0.005405	-0.001005	-0.004621	0.000967	0.008528	-0.000841	-0.001334
154	0.001625	0.001132	0.002282	0.013787	0.00146	0.002282	0.003761	-0.003635	0.00031	0.003761	-0.001662	0.002118	0.011158	0.003104	0.000967
155	0.00031	-0.000347	0.002282	0.011651	0.00294	0.002118	0.000967	-0.0061	0.001132	0.002611	-0.002484	0.000639	0.01691	0.00146	0.00031
156	0.001954	0.000146	0.004748	0.009678	0.002447	-0.001005	0.002447	-0.000183	0.001789	0.001789	-0.017112	0.003761	0.016253	0.001789	-0.001827
157	0.010007	0.000474	0.005405	0.011322	-0.000183	0.003597	0.002118	-0.006264	0.00146	0.003597	-0.011524	0.000474	0.017239	0.002775	0.000803
158	0.007213	0.001954	0.006556	0.01428	0.001132	0.00031	0.003761	-0.000841	-0.001005	-0.001169	-0.004456	0.004912	0.016253	0.00146	0.002118
159	0.000639	0.001296	0.001132	0.012472	0.003761	-1.9e-05	0.002447	-0.006264	0.000639	-0.000183	-0.002484	0.004748	0.019375	0.000803	-0.000841
