Ladekurvenmessung
Zeit: 2018_05_02 15.06.03
Info: FVA3, v = 0.0404, T = 40, F = 20, h = 58.8
Ladewiderstand[Ohm]: 1012700
Störkapazität[nF]: 0.000000
Entladezeit[ms]: 100
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500
Verzögerung [ms]: 1
	Kurve_1
909	-2.5e-05
910	0.000107
911	7.4e-05
912	0.000107
913	0.000107
914	7.4e-05
915	8e-06
916	-5.8e-05
917	-2.5e-05
918	-5.8e-05
919	-0.000123
920	8e-06
921	7.4e-05
922	7.4e-05
923	0.000107
924	7.4e-05
925	0.000107
926	8e-06
927	-5.8e-05
928	8e-06
929	-5.8e-05
930	-9e-05
931	-2.5e-05
932	4.1e-05
933	0.000107
934	0.000107
935	0.00014
936	0.00014
937	8e-06
938	8e-06
939	-5.8e-05
940	-9e-05
941	-5.8e-05
942	-2.5e-05
943	7.4e-05
944	7.4e-05
945	0.00014
946	7.4e-05
947	0.00014
948	8e-06
949	-5.8e-05
950	-5.8e-05
951	-5.8e-05
952	-9e-05
953	-2.5e-05
954	0.000107
955	7.4e-05
956	0.000173
957	0.00014
958	0.000107
959	4.1e-05
960	-5.8e-05
961	-5.8e-05
962	-9e-05
963	-5.8e-05
964	-0.000123
965	4.1e-05
966	7.4e-05
967	4.1e-05
968	0.000173
969	7.4e-05
970	7.4e-05
971	-5.8e-05
972	-9e-05
973	-9e-05
974	-9e-05
975	-9e-05
976	7.4e-05
977	7.4e-05
978	0.00014
979	0.000107
980	0.000107
981	7.4e-05
982	-9e-05
983	-2.5e-05
984	-9e-05
985	-9e-05
986	-5.8e-05
987	4.1e-05
988	0.00014
989	0.000107
990	0.000107
991	0.000173
992	4.1e-05
993	-2.5e-05
994	-2.5e-05
995	-5.8e-05
996	-5.8e-05
997	-9e-05
998	7.4e-05
999	4.1e-05
1000	0.00014
1001	0.000173
1002	0.000107
1003	0.000107
1004	-2.5e-05
1005	-5.8e-05
1006	-2.5e-05
1007	-9e-05
1008	-2.5e-05
1009	4.1e-05
1010	4.1e-05
1011	0.00014
1012	4.1e-05
1013	0.00014
1014	4.1e-05
1015	-5.8e-05
1016	-2.5e-05
1017	-5.8e-05
1018	-5.8e-05
1019	-0.000123
1020	-2.5e-05
1021	0.000107
1022	7.4e-05
1023	0.000107
1024	0.000107
1025	0.000107
1026	-5.8e-05
1027	-5.8e-05
1028	-5.8e-05
1029	8e-06
1030	-2.5e-05
1031	4.1e-05
1032	7.4e-05
1033	0.000107
1034	7.4e-05
1035	0.000107
1036	0.000107
1037	-2.5e-05
1038	-2.5e-05
1039	-9e-05
1040	-5.8e-05
1041	-0.000156
