Ladekurvenmessung
Zeit: 2018_05_03 11.58.18
Info: FVA3, v = 1.47, T = 60, F = 20, h = 337.9
Ladewiderstand[Ohm]: 1012700
Störkapazität[pF]: 0.000000
Entladezeit[ms]: 200
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzögerung[ms]: 3
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7	Kurve_8	Kurve_9	Kurve_10	Kurve_11	Kurve_12
71	0.014773	-0.000676	-0.000183	0.004748	-0.00725	-0.001827	0.025621	-0.000676	-0.012346	-0.001005	-0.002648	0.001954
72	0.016581	-0.001827	-0.001498	0.005076	-0.002813	-0.00232	0.028744	-0.005278	-0.010866	-0.000676	0.000967	-0.000841
73	0.01576	0.00031	-0.005114	0.005898	-0.005443	-0.001662	0.026443	-0.001334	-0.014318	-0.002155	-0.001169	0.004255
74	0.01954	-0.002155	-0.001498	0.004912	-0.004292	-0.001334	0.027265	-1.9e-05	-0.008565	-0.002155	-1.9e-05	0.002118
75	0.02069	-0.000841	-0.001005	0.007213	-0.005278	-0.000676	0.03088	-0.004621	-0.012674	-0.001827	0.001296	0.001296
76	0.025785	-0.000676	-0.001662	0.004748	-0.009551	-0.002648	0.034332	-0.002155	-0.011359	-0.001005	-0.002813	0.004912
77	0.026936	-0.002484	-0.001498	0.005898	-0.005771	0.000639	0.031045	-0.003142	-0.011359	0.001625	-0.000183	0.00294
78	0.003104	-0.001005	-0.002813	0.005076	-0.007086	-0.003306	0.031702	-0.003963	-0.008894	0.003761	-0.001991	0.000639
79	0.010336	-0.005771	0.000639	0.005241	-0.006922	-0.005771	0.030552	-0.003635	-0.012017	-0.002155	0.000474	0.001296
80	0.018061	-0.002648	0.001789	0.006556	-0.006429	-0.003306	0.031209	0.001132	-0.013167	-0.003635	-0.001662	-1.9e-05
81	0.021512	-0.005114	0.000803	0.009678	-0.006429	-0.001334	0.030387	0.00146	-0.010702	-0.002155	-0.000183	0.00031
82	0.019375	0.000146	0.00146	0.004583	-0.008072	-0.001827	0.03351	0.000146	-0.011524	-0.003963	0.000639	-0.001334
83	0.025457	-1.9e-05	-0.000676	0.009678	-0.006264	-0.000512	0.030716	0.000146	-0.009058	-0.002155	-0.001169	-0.002813
84	0.025292	-0.001005	-0.001334	0.009021	-0.007908	-0.000347	0.029401	0.001789	-0.011031	-0.004785	-0.003306	0.002447
85	0.028415	-0.004456	-0.007744	0.012965	-0.004785	-0.000676	0.027758	-0.000183	-0.006922	-0.002977	-0.001662	0.00294
86	0.024964	-0.000183	-0.00232	0.007213	-0.004128	-0.000676	0.023649	0.004255	-0.009716	-0.004456	-0.001169	0.00146
87	0.021841	-0.001005	-0.004128	0.009843	-0.010045	0.001296	0.026278	0.002447	-0.007908	-0.002484	-0.009716	-0.001991
88	0.017896	-0.001169	-0.002484	0.00935	-0.008401	-0.005607	0.025292	-0.003635	-0.008072	0.000474	-0.001169	0.004255
89	0.020362	0.003433	-0.005607	0.011651	-0.010538	-0.004949	0.025128	0.00146	-0.009716	0.00031	-0.00232	0.001789
90	0.017732	0.004255	-0.003963	0.010007	-0.010866	-0.002155	0.027593	-0.000512	-0.010866	-0.000183	0.000474	0.001954
91	0.019211	0.000146	-0.001991	0.013459	-0.008401	-0.004785	0.025292	-0.001005	-0.011359	-0.002155	0.002775	-0.001662
92	0.015102	-0.001005	0.001789	0.017567	-0.007086	-0.000512	0.024306	-0.001662	-0.011852	0.000639	0.000803	0.003268
93	0.017567	0.000146	0.000639	0.010336	-0.013496	-0.002484	0.024964	-0.000676	-0.011688	-0.000676	-0.001662	0.00294
94	0.017074	-0.002813	0.000967	0.0105	-0.007086	-0.001334	0.020033	0.00031	-0.013332	-0.001498	0.00294	0.000803
95	0.017732	-0.00232	-0.000347	0.009185	-0.005114	-0.004292	0.019211	-0.002155	-0.014318	-0.004128	-0.00232	0.001625
96	0.017567	-0.005771	0.000146	0.006227	-0.006757	-0.002155	0.014773	0.002118	-0.01366	-0.002813	-0.001498	-0.003142
97	0.009514	-0.001662	0.000803	0.004255	-0.013989	0.000474	0.013294	0.002447	-0.013825	-0.003306	-0.000347	-0.000841
98	0.011979	-0.002977	-0.001991	0.011158	-0.005114	0.003761	0.010664	-0.001662	-0.014975	-0.000183	-0.001662	0.003268
99	0.013294	-0.002155	0.000146	0.005569	-0.005278	0.001132	0.010336	-0.001991	-0.012839	-0.004621	-0.00232	-0.001334
100	0.01428	-0.003799	-0.005114	0.007377	-0.007579	-0.000676	0.005734	-0.002977	-0.018098	-0.001334	0.001789	0.000803
